time_data,pc_data,lep_data,rep_data
0,-1.003,0,0
0.01,-1.003,0,0
0.02,-1.003,0,0
0.03,-1.003,-5.50726302167523e-05,-5.22551960003738e-05
0.04,-1.003,-0.000311130016508969,-0.000376613259841667
0.05,-1.003,-0.000961957044918888,-0.0013288347683833
0.06,-1.003,-0.00221829286747104,-0.00321673062087633
0.07,-1.003,-0.00424184817391918,-0.00615575255936459
0.08,-1.003,-0.00710312739563686,-0.0101079546899018
0.09,-1.003,-0.0108661699514883,-0.0150688792187413
0.1,-1.003,-0.0156853197839314,-0.0211607319771777
0.11,-1.003,-0.0217740874479003,-0.0285846317058371
0.12,-1.003,-0.029245618221325,-0.037418187304489
0.13,-1.003,-0.0380562559380764,-0.0475379375634828
0.14,-1.003,-0.0481513851855453,-0.0587667704009503
0.15,-1.003,-0.0594925150604368,-0.0710438374392956
0.16,-1.003,-0.0721146742491943,-0.0845055074386244
0.17,-1.003,-0.0860603571090744,-0.0993979415481049
0.18,-1.003,-0.101251892822297,-0.115860006646639
0.19,-1.003,-0.117537225677655,-0.133748132164841
0.2,-1.003,-0.134870841601906,-0.15270827707384
0.21,-1.003,-0.153423973901866,-0.172473602501502
0.22,-1.003,-0.173338487112883,-0.193053948747303
0.23,-1.003,-0.194475540753385,-0.214653995844135
0.24,-1.003,-0.216623842891578,-0.237321566473171
0.25,-1.003,-0.239646013508456,-0.260930306701134
0.26,-1.003,-0.26339965360314,-0.285273112719192
0.27,-1.003,-0.287816505408379,-0.310235605943779
0.28,-1.003,-0.312983170339784,-0.335760018755726
0.29,-1.003,-0.338875233383285,-0.361775243030858
0.3,-1.003,-0.365329129045263,-0.388188998642508
0.31,-1.003,-0.392139008369802,-0.414998853624735
0.32,-1.003,-0.4191428157544,-0.442158379873081
0.33,-1.003,-0.446282369638029,-0.469446665262607
0.34,-1.003,-0.473625661166871,-0.496624434927125
0.35,-1.003,-0.501157014040844,-0.523550087892152
0.36,-1.003,-0.5286599585839,-0.55022832956762
0.37,-1.003,-0.55599610798976,-0.576834360230144
0.38,-1.003,-0.583207469335417,-0.603387308050541
0.39,-1.003,-0.610245420872519,-0.629662623715681
0.4,-1.003,-0.636866999479986,-0.655467433338642
0.41,-1.003,-0.662933964699402,-0.680813968016682
0.42,-1.003,-0.688505780741269,-0.705815340535383
0.43,-1.003,-0.71366151250435,-0.73051992634909
0.44,-1.003,-0.738342919254297,-0.754794468464209
0.45,-1.003,-0.762322563414008,-0.778421463142729
0.46,-1.003,-0.785413193962772,-0.80109641825732
0.47,-1.003,-0.807615583197777,-0.822655447482793
0.48,-1.003,-0.829041903831424,-0.843188002163208
0.49,-1.003,-0.849783267798249,-0.862988615284275
0.5,-1.003,-0.86974224193353,-0.882197110652776
0.51,-1.003,-0.888713614313037,-0.900676121694979
0.52,-1.003,-0.906585289817238,-0.918170870726971
0.53,-1.003,-0.923342561042413,-0.934521933203125
0.54,-1.003,-0.939068959641183,-0.949802004040352
0.55,-1.003,-0.953944726745308,-0.964244744758183
0.56,-1.003,-0.968038538090853,-0.977912484079272
0.57,-1.003,-0.981230232907821,-0.990610620411984
0.58,-1.003,-0.9934061863599,-1.00217363871086
0.59,-1.003,-1.00450891837023,-1.01265388645757
0.6,-1.003,-1.01462031810132,-1.02220788537125
0.61,-1.003,-1.02395025240178,-1.03091340963656
0.62,-1.003,-1.03267691543087,-1.03876515382748
0.63,-1.003,-1.04070476103844,-1.04568013322867
0.64,-1.003,-1.04773931214308,-1.05160839275988
0.65,-1.003,-1.05371429225538,-1.05663323430573
0.66,-1.003,-1.05892008436238,-1.06090421312603
0.67,-1.003,-1.06364621724172,-1.06450532507207
0.68,-1.003,-1.0678652646284,-1.0674326955013
0.69,-1.003,-1.0712679748864,-1.06967345615811
0.7,-1.003,-1.07364106318417,-1.07129163239613
0.71,-1.003,-1.07512250463268,-1.07236048273658
0.72,-1.003,-1.07607207949423,-1.07288497277964
0.73,-1.003,-1.07667000092104,-1.07288694037171
0.74,-1.003,-1.07677119190621,-1.07248295310252
0.75,-1.003,-1.07616277967681,-1.07171246230814
0.76,-1.003,-1.07482753906687,-1.07048125884837
0.77,-1.003,-1.07298738984516,-1.06876199062268
0.78,-1.003,-1.07094611024078,-1.06666474647731
0.79,-1.003,-1.06884625332158,-1.06435874979003
0.8,-1.003,-1.06654469461144,-1.06197576944741
0.81,-1.003,-1.06382682123757,-1.05950635555757
0.82,-1.003,-1.06068309652774,-1.05685314019356
0.83,-1.003,-1.05732010951565,-1.05396779294689
0.84,-1.003,-1.05400118129048,-1.05090054166393
0.85,-1.003,-1.05085943665645,-1.04777175224579
0.86,-1.003,-1.04782187841023,-1.04469293978809
0.87,-1.003,-1.04467641221548,-1.04166839122818
0.88,-1.003,-1.04120511127647,-1.03857772966673
0.89,-1.003,-1.03742068009331,-1.03531319693143
0.9,-1.003,-1.03361211283962,-1.03185326054316
0.91,-1.003,-1.03001536101511,-1.02825824687272
0.92,-1.003,-1.02655472078564,-1.02470596950965
0.93,-1.003,-1.02302618143708,-1.02137717812414
0.94,-1.003,-1.01939637010469,-1.01826876494358
0.95,-1.003,-1.01575840625241,-1.01517439363698
0.96,-1.003,-1.01218368590305,-1.01189716078061
0.97,-1.003,-1.00868366156137,-1.00847089052514
0.98,-1.003,-1.00524825036977,-1.00510669734114
0.99,-1.003,-1.00190521489652,-1.00199579526566
1,-1.003,-0.998719148638207,-0.999172454594705
1.01,-1.003,-0.995719923648415,-0.996516121831106
1.02,-1.003,-0.992933157849512,-0.993894107223903
1.03,-1.003,-0.990356604857809,-0.991297604567927
1.04,-1.003,-0.987939131105951,-0.988837259838131
1.05,-1.003,-0.985645462415501,-0.986692331808612
1.06,-1.003,-0.983476220944269,-0.984975044779862
1.07,-1.003,-0.981441463728703,-0.983564181935247
1.08,-1.003,-0.979593435985625,-0.982210813879152
1.09,-1.003,-0.978044347020721,-0.980798929350601
1.1,-1.003,-0.976854796811824,-0.979459529331159
1.11,-1.003,-0.975949386864696,-0.978445968776131
1.12,-1.003,-0.975194683130986,-0.977865955488693
1.13,-1.003,-0.974536717533687,-0.977553569856727
